dist_m,E,N,tc_mgal,cba_mgal,talwani_pred_mgal,talwani_resid_mgal
0.0,-225.0609,2504.416,1.1233860703801692,1.0735520703801693,0.21469586900741555,-0.8588562013727538
101.25618148148148,-123.80471851851853,2504.416,1.1233860703801692,1.0735520703801693,0.23043069952060685,-0.8431213708595624
202.51236296296295,-22.54853703703705,2504.416,1.1233860703801692,1.0735520703801693,0.24790264961122097,-0.8256494207689483
303.7685444444445,78.7076444444445,2504.416,1.1233860703801692,1.0735520703801693,0.2673624967544455,-0.8061895736257239
405.024725925926,179.9638259259259,2504.416,1.1233860703801692,1.0735520703801693,0.28910353351011037,-0.7844485368700589
506.2809074074074,281.2200074074074,2504.416,1.1233860703801692,1.0735520703801693,0.31346889968537317,-0.7600831706947961
607.537088888889,382.476188888889,2504.416,1.1233860703801692,1.0735520703801693,0.34085969268391636,-0.732692377696253
708.7932703703705,483.7323703703706,2504.416,1.1233860703801692,1.0735520703801693,0.37174348540683877,-0.7018085849733305
810.0494518518519,584.9885518518518,2504.416,0.8727534464729665,0.8898094464729664,0.40666243826040244,-0.483147008212564
911.3056333333334,686.2447333333334,2504.416,0.8727534464729665,0.8898094464729664,0.4462394287625937,-0.44357001771037274
1012.5618148148149,787.5009148148149,2504.416,0.8727534464729665,0.8898094464729664,0.4911793556740366,-0.39863009079892986
1113.8179962962963,888.7570962962964,2504.416,0.8727534464729665,0.8898094464729664,0.5422607592642265,-0.34754868720874
1215.074177777778,990.013277777778,2504.416,0.9989464703670504,1.0710204703670505,0.6003098691810457,-0.47071060118600483
1316.3303592592597,1091.2694592592595,2504.416,0.9989464703670504,1.0710204703670505,0.6661450201185299,-0.40487545024852056
1417.586540740741,1192.5256407407412,2504.416,0.9989464703670504,1.0710204703670505,0.740474503624266,-0.33054596674278447
1518.8427222222224,1293.7818222222224,2504.416,0.9989464703670504,1.0710204703670505,0.8237272710394468,-0.24729319932760374
1620.098903703704,1395.0380037037037,2504.416,0.9989464703670504,1.0710204703670505,0.9157983897914094,-0.15522208057564113
1721.355085185185,1496.2941851851854,2504.416,0.9989464703670504,1.0710204703670505,1.0157092596347126,-0.05531121073233791
1822.6112666666668,1597.5503666666668,2504.416,0.9989464703670504,1.0710204703670505,1.121229242320602,0.050208771953551556
1923.867448148148,1698.8065481481483,2504.416,0.5324844070826611,0.8223294070826611,1.2285871618819866,0.40625775479932547
2025.1236296296297,1800.0627296296298,2504.416,0.5324844070826611,0.8223294070826611,1.3324945478052748,0.5101651407226137
2126.3798111111114,1901.3189111111117,2504.416,0.5324844070826611,0.8223294070826611,1.4267278647211188,0.6043984576384577
2227.6359925925926,2002.575092592593,2504.416,0.5324844070826611,0.8223294070826611,1.5053598579464675,0.6830304508638064
2328.8921740740743,2103.8312740740744,2504.416,1.0156981111583274,1.5344941111583277,1.5643609857889702,0.029866874630642526
2430.148355555556,2205.087455555556,2504.416,1.0156981111583274,1.5344941111583277,1.6029080266755351,0.06841391551720744
2531.404537037037,2306.3436370370373,2504.416,1.0156981111583274,1.5344941111583277,1.6236914002359781,0.08919728907765045
2632.660718518519,2407.599818518519,2504.416,1.0156981111583274,1.5344941111583277,1.6319593491143607,0.09746523795603301
2733.9169,2508.856,2504.416,1.0156981111583274,1.5344941111583277,1.633682485021445,0.09918837386311741
2835.173081481482,2610.1121814814824,2504.416,0.8541781179602292,1.6522321179602293,1.6335851417819591,-0.018646976178270158
2936.429262962963,2711.3683629629627,2504.416,0.8541781179602292,1.6522321179602293,1.633696315634017,-0.018535802326212325
3037.685444444445,2812.624544444445,2504.416,0.8541781179602292,1.6522321179602293,1.632759499802603,-0.019472618157626354
3138.941625925926,2913.880725925926,2504.416,0.8541781179602292,1.6522321179602293,1.626595806168116,-0.02563631179211323
3240.197807407408,3015.1369074074078,2504.416,0.4620810689179659,1.1846680689179658,1.6093656349864747,0.42469756606850884
3341.4539888888894,3116.393088888889,2504.416,0.4620810689179659,1.1846680689179658,1.5754610168972472,0.3907929479792813
3442.71017037037,3217.6492703703707,2504.416,0.4620810689179659,1.1846680689179658,1.5214446620244886,0.33677659310652275
3543.9663518518523,3318.905451851852,2504.416,0.4330230017967356,1.0754980017967355,1.447273913833722,0.37177591203698657
3645.2225333333336,3420.1616333333336,2504.416,0.4330230017967356,1.0754980017967355,1.3562983804945847,0.28080037869784924
3746.4787148148152,3521.4178148148158,2504.416,0.4330230017967356,1.0754980017967355,1.2541369145041166,0.17863891270738108
3847.734896296297,3622.673996296297,2504.416,0.4330230017967356,1.0754980017967355,1.1470762243674577,0.07157822257072222
3948.991077777778,3723.930177777778,2504.416,0.4330230017967356,1.0754980017967355,1.0407081934971874,-0.03478980829954814
4050.2472592592594,3825.18635925926,2504.416,0.4330230017967356,1.0754980017967355,0.9391886824743138,-0.13630931932242174
4151.503440740741,3926.442540740741,2504.416,0.4330230017967356,1.0754980017967355,0.8451002260230608,-0.2303977757736747
4252.759622222223,4027.698722222223,2504.416,0.4330230017967356,1.0754980017967355,0.7596887099494434,-0.3158092918472921
4354.0158037037045,4128.954903703704,2504.416,0.4330230017967356,1.0754980017967355,0.683235561625007,-0.3922624401717285
4455.271985185185,4230.211085185185,2504.416,0.4330230017967356,1.0754980017967355,0.6154136127025799,-0.4600843890941556
4556.528166666667,4331.467266666667,2504.416,0.4330230017967356,1.0754980017967355,0.5555633493143252,-0.5199346524824103
4657.784348148149,4432.723448148148,2504.416,0.4330230017967356,1.0754980017967355,0.5028814058705388,-0.5726165959261967
4759.04052962963,4533.97962962963,2504.416,0.4330230017967356,1.0754980017967355,0.4565369319522072,-0.6189610698445283
4860.296711111112,4635.235811111112,2504.416,0.4330230017967356,1.0754980017967355,0.4157366544125072,-0.6597613473842283
4961.552892592593,4736.491992592592,2504.416,0.4330230017967356,1.0754980017967355,0.3797566795147265,-0.695741322282009
5062.8090740740745,4837.748174074074,2504.416,0.4330230017967356,1.0754980017967355,0.3479542420636158,-0.7275437597331197
5164.065255555556,4939.004355555556,2504.416,0.4330230017967356,1.0754980017967355,0.31976819218258556,-0.7557298096141499
5265.321437037038,5040.2605370370375,2504.416,0.4330230017967356,1.0754980017967355,0.2947137056132949,-0.7807842961834406
5366.577618518519,5141.516718518518,2504.416,0.4330230017967356,1.0754980017967355,0.272374466902492,-0.8031235348942435
5467.8338,5242.7729,2504.416,0.4330230017967356,1.0754980017967355,0.2523941524906906,-0.823103849306045
